sample_id,video_id,cluster_id,episode_keys_json,visual_signal_basis,valid_frame_count,real_sync_score,best_lag_s,null_count,null_median,null_p95,empirical_percentile,p_like_score,rank_within_sample,top1_top2_margin
-UuX1xuaiiE$_$1,-UuX1xuaiiE,3,"[""1:3""]",mouth_landmarks_62_66_over_48_54,109,0.219673845578733,-0.04,26,0.1526752669559531,0.4891519472213302,0.6923076923076923,0.3333333333333333,5,
-UuX1xuaiiE$_$1,-UuX1xuaiiE,4,"[""1:4""]",mouth_landmarks_62_66_over_48_54,125,0.2435741394652969,-0.2,26,0.1582629716334442,0.3385761668780162,0.6538461538461539,0.3703703703703703,3,
-UuX1xuaiiE$_$1,-UuX1xuaiiE,5,"[""2:5""]",mouth_landmarks_62_66_over_48_54,105,0.0310970780890459,0.04,26,0.14563031698401,0.2669607813895862,0.0769230769230769,0.925925925925926,8,
-UuX1xuaiiE$_$1,-UuX1xuaiiE,6,"[""2:6""]",mouth_landmarks_62_66_over_48_54,134,0.1757526064638058,0.08,26,0.1665527092133935,0.3336757258079331,0.5384615384615384,0.4814814814814814,6,
-UuX1xuaiiE$_$1,-UuX1xuaiiE,7,"[""3:7""]",mouth_landmarks_62_66_over_48_54,105,0.3208215908817802,-0.04,26,0.0579206858089466,0.4215052570990784,0.9230769230769232,0.1111111111111111,1,0.0711617220053148
-UuX1xuaiiE$_$1,-UuX1xuaiiE,8,"[""3:8""]",mouth_landmarks_62_66_over_48_54,134,0.1412242763316443,0.04,26,0.0933134182574944,0.2696738413147745,0.6538461538461539,0.3703703703703703,7,
-UuX1xuaiiE$_$3,-UuX1xuaiiE,0,"[""0:0"",""1:2""]",mouth_landmarks_62_66_over_48_54,89,-0.0869452753334523,-0.12,26,0.0993238460528304,0.4384996660564458,0.3461538461538461,0.6666666666666666,2,
-UuX1xuaiiE$_$3,-UuX1xuaiiE,1,"[""0:1""]",mouth_landmarks_62_66_over_48_54,7,0.509230165476052,0.04,23,0.5981718596247453,0.8959346977889011,0.3043478260869565,0.7083333333333334,1,0.5961754408095045
-UuX1xuaiiE$_$6,-UuX1xuaiiE,0,"[""0:0"",""1:1""]",mouth_landmarks_62_66_over_48_54,197,-0.0153764482950147,0.2,26,0.0120619256624361,0.1446351737566199,0.3846153846153846,0.6296296296296297,1,
-a55Q6RWvTA$_$3,-a55Q6RWvTA,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,554,0.0047122929186779,-0.04,26,-0.0172292738956333,0.1292465672295175,0.5384615384615384,0.4814814814814814,1,
-aNfi7CP8vM$_$7,-aNfi7CP8vM,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,215,0.1748447727335408,0.08,26,0.1320598016420839,0.2787183193898864,0.6538461538461539,0.3703703703703703,1,
-aqamKhZ1Ec$_$0,-aqamKhZ1Ec,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,274,0.0838773586184477,-0.2,26,0.0488273889989149,0.1971923791484176,0.5769230769230769,0.4444444444444444,1,
-dxfTGcXJoc$_$0,-dxfTGcXJoc,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,400,0.207091577698967,0.12,26,0.1422084683081952,0.2056174876622009,0.9615384615384616,0.074074074074074,1,
